Category,Size,Distance,tsne_1,tsne_2
person,Large,0.7006307,19.639406,-15.571452
person,Small,0.87701315,9.403035,-11.058366
person,Large,0.6255692,19.975079,-11.410028
person,Large,0.7035985,21.445473,-11.759348
person,Large,0.6220491,21.735971,-13.375752
person,Medium,0.62614036,18.312305,-15.407799
person,Medium,0.76514024,17.837067,-10.907802
person,Medium,0.8059439,14.06365,-12.094126
person,Large,0.7658945,23.807177,-13.898239
person,Medium,0.8689305,18.847067,-11.615702
person,Small,0.6859655,14.662991,-12.698807
person,Small,0.6185585,15.658656,-13.403603
person,Small,0.69452393,15.484598,-13.882163
person,Large,0.57398677,18.719847,-13.28921
person,Medium,0.61539686,18.498775,-15.492668
person,Medium,0.7081906,18.984327,-12.774157
person,Large,0.70205015,19.878391,-14.419479
person,Large,0.69175726,20.14881,-15.406802
bicycle,Small,0.6282779,15.789108,43.985706
bicycle,Large,0.6361988,15.653531,48.961105
bicycle,Small,0.7059594,12.464704,42.389606
bicycle,Small,0.78292865,8.791629,43.040813
bicycle,Small,0.63856804,14.253796,43.301006
bicycle,Small,0.5580254,15.132511,43.644737
bicycle,Medium,0.7187008,12.60971,45.290573
bicycle,Large,0.81551486,35.107826,23.333782
bicycle,Medium,0.7101504,16.666672,40.46821
bicycle,Medium,0.5981483,13.995985,45.159813
bicycle,Small,0.67827976,14.003069,40.90094
bicycle,Large,0.6498441,16.96351,46.686462
bicycle,Large,0.6342668,15.355055,48.753754
bicycle,Medium,0.61730516,14.860248,45.64977
bicycle,Medium,0.7622303,19.08705,46.02652
bicycle,Medium,0.8915177,9.085986,41.966022
bicycle,Medium,0.61851925,13.272157,44.156956
bicycle,Medium,0.6822804,13.418208,43.491417
bicycle,Medium,0.58807147,16.46946,48.606407
bicycle,Medium,0.6426231,12.868357,44.448967
bicycle,Medium,0.71966773,16.66048,42.69661
bicycle,Small,0.6210655,15.1190405,42.861107
bicycle,Large,0.61679727,18.909994,47.18475
bicycle,Small,0.6151132,15.0568695,43.626755
bicycle,Large,0.8322777,35.996265,22.172915
bicycle,Large,0.7466687,35.46369,23.447445
bicycle,Large,0.6173558,18.594202,47.65341
bicycle,Medium,0.849428,19.835072,47.457413
bicycle,Large,0.7371035,15.376305,49.66995
bicycle,Small,0.7411633,8.8534155,43.044304
bicycle,Small,0.73117083,13.9925375,41.997723
bicycle,Medium,0.5908394,13.834788,46.622852
bicycle,Large,0.84563386,29.792263,26.75766
bicycle,Medium,0.5961881,15.506896,48.433903
bicycle,Large,0.70011157,36.02546,24.03934
bicycle,Medium,0.8371484,13.114343,38.058456
bicycle,Medium,0.7502121,13.5966,48.04357
bicycle,Medium,0.7452523,12.696368,44.339687
bicycle,Medium,0.60013694,14.080442,47.843258
bicycle,Medium,0.71943456,18.09039,48.501694
bicycle,Medium,0.5956229,14.926314,44.10093
bicycle,Small,0.77159256,11.37,42.43011
bicycle,Medium,0.7607641,12.720364,44.616276
bicycle,Small,1.0838963,-28.873837,15.321891
bicycle,Large,0.66451997,19.18426,47.507668
bicycle,Large,0.6976053,36.377113,23.623072
bicycle,Medium,0.56870055,16.77458,47.25359
bicycle,Medium,0.63013047,15.993604,45.504326
bicycle,Small,0.8636737,29.43507,36.851322
bicycle,Medium,0.68401337,15.117387,46.409992
bicycle,Medium,0.5787661,17.038727,47.72163
bicycle,Medium,0.7673388,17.46039,42.414406
bicycle,Large,0.6637021,16.758635,49.02161
bicycle,Large,0.63012904,18.404432,47.437225
bicycle,Medium,0.70565,14.9590225,44.291668
bicycle,Medium,0.6043215,16.444294,48.883755
bicycle,Small,0.7903636,12.190838,46.690224
bicycle,Medium,0.65453255,17.192026,47.531254
bicycle,Medium,0.59410363,13.367347,46.83728
bicycle,Large,0.81558985,35.825962,22.671558
bicycle,Small,0.74971104,8.306063,42.351574
bicycle,Large,0.9198745,34.117146,21.468733
bicycle,Medium,0.6406558,13.819605,46.643555
bicycle,Small,1.0325127,13.196765,-16.294325
bicycle,Small,1.0138812,6.8065352,-3.1911435
bicycle,Medium,0.71952206,16.969599,42.507435
bicycle,Small,1.019685,-7.0948596,-15.625283
bicycle,Medium,0.6342099,16.030237,43.03121
bicycle,Medium,0.63904464,14.927901,47.131413
bicycle,Small,1.0148472,17.829687,42.074505
bicycle,Large,0.7506279,36.170536,22.93811
bicycle,Small,0.6499658,13.436466,46.061226
bicycle,Medium,0.8361714,14.757244,39.28422
bicycle,Large,0.87853175,36.86643,21.054565
bicycle,Large,0.8756032,1.4535881,23.871313
bicycle,Medium,0.6187621,16.669521,44.368446
bicycle,Medium,0.6331992,14.829001,45.663265
bicycle,Medium,0.7437237,14.364466,41.214005
bicycle,Large,0.73205703,17.36756,49.161484
bicycle,Small,0.6076823,13.493586,42.477875
bicycle,Large,0.69903046,17.895618,46.13866
bicycle,Small,0.69949883,13.981838,42.046425
bicycle,Medium,0.5947707,14.760002,44.20543
bicycle,Small,0.779435,13.766758,40.373302
bicycle,Small,0.5731996,14.074469,43.604427
bicycle,Medium,0.64135283,15.979204,46.7903
bicycle,Medium,0.6796816,16.702065,46.705154
bicycle,Medium,0.59563875,16.400846,48.8777
bicycle,Large,0.625057,16.746914,48.914646
bicycle,Medium,0.66151917,12.897135,42.538647
bicycle,Small,0.83206344,11.383764,42.4008
bicycle,Large,0.6198179,17.228794,48.561043
bicycle,Medium,0.92784846,-54.78765,23.714926
bicycle,Medium,0.7777425,10.282106,45.489956
bicycle,Large,0.72052777,34.83435,23.737516
bicycle,Large,0.5745547,16.452007,48.812763
bicycle,Medium,0.5713646,16.594112,48.560135
bicycle,Small,1.093846,-12.692727,25.540314
bicycle,Medium,0.58307207,16.818892,48.1526
bicycle,Medium,0.56437534,16.676277,48.381863
car,Small,0.6419653,33.63632,36.11031
car,Medium,0.76219165,46.013134,34.204926
car,Small,0.65244156,38.28822,38.841633
car,Small,0.66059214,36.21332,36.21683
car,Small,0.69105893,35.099934,34.21158
car,Small,0.6951408,39.89459,39.57362
car,Small,0.69648796,33.320854,37.539722
car,Small,0.7354082,43.89415,37.651962
car,Medium,0.8460702,38.04492,36.46344
car,Large,0.8727733,46.928936,41.716217
car,Small,0.6847459,39.875496,39.92008
car,Large,0.9293451,59.97494,21.569706
car,Small,0.787194,30.646399,36.927486
car,Medium,0.79453737,36.56136,34.688946
car,Medium,0.80649704,45.685303,33.172943
car,Small,0.6407414,34.671642,37.24077
car,Small,0.7435198,31.398449,38.02158
car,Small,0.67379403,37.70294,39.351963
car,Medium,0.71576834,46.03871,34.52816
car,Small,0.7140075,39.38144,39.771996
car,Large,0.84815973,51.512234,30.827827
car,Medium,0.7952417,38.7863,37.56002
car,Small,0.90299696,19.79726,4.341391
car,Small,0.84685266,34.91476,37.578876
car,Small,0.7693961,31.530432,37.144226
car,Medium,0.79023796,38.516396,34.507664
car,Medium,0.7451167,38.696625,37.179996
car,Small,0.97747,19.255934,30.993479
car,Large,0.8389588,50.698536,36.206642
car,Small,0.869465,34.449936,33.7068
car,Medium,0.7818271,36.77343,35.552334
car,Small,0.6532156,34.568684,35.4934
car,Small,0.64489746,39.156742,38.88994
car,Small,0.6736041,33.465683,37.040367
car,Large,0.80954677,42.217224,29.69635
car,Small,0.7519611,33.717472,38.68874
car,Small,0.7266573,37.446236,40.127384
car,Small,0.6964069,34.282036,37.168797
car,Medium,0.89357924,40.427273,37.535713
car,Large,0.86227566,42.170074,29.714497
car,Medium,0.78232574,35.873623,38.78239
car,Medium,0.88313437,41.603077,33.26503
car,Small,0.7445397,31.337917,37.978394
car,Medium,0.7947279,43.020023,37.524914
car,Medium,0.7653395,39.145786,34.380997
car,Medium,0.7629107,38.93924,40.156944
car,Small,0.81794274,31.70056,38.176105
car,Medium,0.8168562,38.10815,34.422615
car,Small,0.76048875,40.434223,37.697067
car,Medium,0.7668951,39.391605,37.737892
car,Small,0.7573868,30.710094,36.983852
car,Large,0.8680715,51.39334,29.528835
car,Small,0.70352113,36.10785,36.946335
car,Large,0.91775584,60.372177,-39.967876
car,Small,0.80557907,30.492584,34.10516
car,Small,0.77665824,34.58508,35.5848
car,Small,0.7709096,31.68777,37.025414
car,Medium,0.7773407,43.927288,40.16133
car,Medium,0.6787654,37.765045,38.561066
car,Small,0.74243677,33.238255,37.092796
car,Large,0.788104,51.249706,30.161257
car,Small,0.6889913,36.303146,35.40615
car,Small,0.7597786,28.446281,38.248394
car,Large,0.8338796,51.509144,29.655127
car,Small,0.91087884,-88.81476,-9.887934
car,Medium,0.8244944,40.114124,37.49699
car,Medium,0.7382819,40.844994,39.608063
car,Medium,0.77802247,39.911964,40.798428
car,Small,0.74425375,34.512592,38.112843
car,Small,0.70206386,32.363605,38.423958
car,Medium,0.78069097,34.714523,32.898903
car,Medium,0.71170723,36.892574,35.425224
car,Small,0.75876373,35.045525,34.27325
car,Medium,0.7761025,39.599922,34.13043
car,Medium,0.84863055,45.90583,40.93838
car,Medium,0.71280587,43.019184,37.79872
car,Small,0.7813565,44.99708,42.310463
car,Medium,0.77350515,40.132545,37.47314
car,Small,0.73543817,43.521152,35.43711
car,Small,0.7643994,38.73257,37.909237
car,Small,0.6907636,34.602837,35.19816
car,Small,0.8017515,44.65905,38.936115
car,Small,0.8534762,32.3318,34.048267
car,Medium,0.90637994,51.93831,40.613518
car,Large,0.79729766,45.980812,33.732334
car,Small,0.7965876,34.745308,40.443356
car,Medium,0.7706388,41.6097,33.318344
car,Small,0.7484598,31.51292,37.18267
car,Small,0.69866747,33.056076,35.628475
car,Small,0.83188254,34.04352,39.073524
car,Small,0.7014826,35.552288,36.416973
car,Small,0.82974917,32.82038,34.106766
car,Small,0.7106477,38.217022,40.087963
car,Medium,0.83549565,42.291225,40.37382
car,Small,0.66091233,37.20959,39.537426
car,Small,0.67381775,39.17545,39.43773
car,Medium,0.7662288,36.50801,38.77885
car,Large,0.819267,39.827377,34.049732
car,Medium,0.71485066,34.706497,33.320133
car,Large,0.7256842,51.778206,30.070261
motorcycle,Medium,0.6754347,19.934082,40.50128
motorcycle,Medium,0.8048786,20.270178,38.161488
motorcycle,Small,0.9011826,29.801249,36.98161
motorcycle,Medium,0.75336474,15.569492,39.998207
motorcycle,Large,0.7488482,22.482006,39.521496
motorcycle,Medium,0.674092,21.71168,40.320503
motorcycle,Large,0.623025,21.653925,40.49916
motorcycle,Medium,0.81267893,20.05956,37.968166
motorcycle,Large,0.7335253,37.069275,23.92015
motorcycle,Medium,0.65894425,19.500198,39.808643
motorcycle,Large,0.70328057,37.075104,25.469097
motorcycle,Large,0.8207838,22.533768,39.32465
motorcycle,Large,0.6854931,37.019512,25.421333
motorcycle,Medium,0.6831973,15.8607855,41.87633
motorcycle,Small,0.73494345,16.4456,43.408512
motorcycle,Medium,0.61316764,20.705774,43.0644
motorcycle,Small,1.0130211,-4.504832,8.018252
motorcycle,Large,0.6341335,21.279423,41.575947
motorcycle,Large,0.9147055,53.72347,1.0237347
motorcycle,Medium,0.84977007,17.039225,38.467567
motorcycle,Large,0.68143165,35.086113,25.134989
motorcycle,Small,0.7844807,9.254799,42.968327
motorcycle,Large,0.7924563,37.857254,25.94841
motorcycle,Medium,0.74256134,20.560835,38.781296
motorcycle,Small,0.772456,16.394691,39.763687
motorcycle,Large,0.75881386,35.42881,24.75005
motorcycle,Large,0.7171,36.28471,24.67381
motorcycle,Small,0.77401024,32.73726,35.605152
motorcycle,Large,0.66060114,36.039017,25.969574
motorcycle,Medium,0.6427303,22.086514,40.947323
motorcycle,Medium,0.54983234,20.557932,42.84345
motorcycle,Medium,0.79498035,13.863925,42.936935
motorcycle,Large,0.65080017,35.919754,25.336742
motorcycle,Medium,0.7235944,20.126148,44.479836
motorcycle,Medium,0.6983741,18.20514,39.51155
motorcycle,Large,0.6459017,36.094418,24.826117
motorcycle,Large,0.71893406,20.768454,39.41886
motorcycle,Medium,0.6762835,18.120241,40.31634
motorcycle,Large,0.60949695,35.476173,25.427313
motorcycle,Medium,0.704434,19.188412,43.07638
motorcycle,Large,0.6496935,34.924767,27.327112
motorcycle,Small,0.95872194,30.443691,34.048553
motorcycle,Large,0.69616437,36.830128,25.2594
motorcycle,Medium,0.70763326,34.754364,27.67638
motorcycle,Medium,0.6737235,20.319593,39.178238
motorcycle,Large,0.7226752,34.67169,24.935741
motorcycle,Medium,0.6914777,16.146692,40.548412
motorcycle,Large,0.6320249,20.988928,41.31991
motorcycle,Large,0.6520745,35.13978,24.323618
motorcycle,Medium,0.8265801,19.757824,37.85677
motorcycle,Medium,0.6719233,18.594566,40.1262
motorcycle,Medium,0.7394134,19.787313,40.629395
motorcycle,Medium,0.68590385,17.62281,43.357574
motorcycle,Medium,0.6608906,19.275314,42.672657
motorcycle,Medium,0.8002573,12.781228,47.858486
motorcycle,Large,0.70865655,35.23182,24.764057
motorcycle,Large,0.62532085,36.858723,24.889511
motorcycle,Small,0.94284713,19.646685,31.977026
motorcycle,Small,1.0146939,46.14342,43.72962
motorcycle,Small,0.7469269,15.616428,40.045258
motorcycle,Medium,0.7328388,22.948145,41.2174
motorcycle,Large,0.69113225,37.086662,25.428995
motorcycle,Medium,0.69684064,20.449606,42.054924
motorcycle,Large,0.645325,20.847025,43.20589
motorcycle,Medium,0.6291864,17.515686,43.602634
motorcycle,Large,0.7644055,19.217648,39.409878
motorcycle,Large,0.6069467,22.247438,40.169903
motorcycle,Large,0.85383594,39.746212,23.490742
motorcycle,Large,0.8384121,12.293267,9.083346
motorcycle,Medium,0.63745034,20.09623,43.080986
motorcycle,Medium,0.6752349,20.037827,44.056396
motorcycle,Medium,0.7216463,23.065434,41.42358
motorcycle,Medium,0.722101,17.071093,43.61926
motorcycle,Large,0.9409594,24.444035,-9.037188
motorcycle,Small,0.771847,15.287675,41.568577
motorcycle,Small,0.8621508,8.606938,43.329098
motorcycle,Small,0.7839976,15.688433,41.50921
motorcycle,Medium,0.90297943,18.553427,35.46737
motorcycle,Medium,0.6831141,20.72239,40.958794
motorcycle,Large,0.7132654,37.229233,25.525555
motorcycle,Large,0.5846975,21.754856,40.317528
motorcycle,Large,0.7950619,21.22254,44.088467
motorcycle,Small,1.0321767,-4.385464,7.7048283
motorcycle,Medium,0.6441412,20.76451,40.0668
motorcycle,Small,0.82613033,16.847715,38.901302
motorcycle,Large,0.6853851,37.206356,25.581417
motorcycle,Medium,0.63158834,19.130724,39.888943
motorcycle,Large,0.85915256,35.23536,21.160637
motorcycle,Small,0.73740566,14.266507,43.506004
motorcycle,Medium,0.6652649,19.14824,39.651115
motorcycle,Large,0.85184413,22.75474,35.66446
motorcycle,Large,0.7551987,33.92664,25.284176
motorcycle,Large,0.649419,35.167763,25.910244
motorcycle,Large,0.6349359,36.09377,26.755398
motorcycle,Small,0.94031304,-2.639983,7.339186
motorcycle,Small,0.7956072,9.123913,42.74333
motorcycle,Large,0.78065604,37.641346,24.555891
motorcycle,Medium,0.6699703,20.71264,41.8512
motorcycle,Large,0.63130945,36.586338,24.852251
motorcycle,Medium,0.73323524,19.683138,38.03163
airplane,Large,0.5160202,75.70861,15.857457
airplane,Large,0.5038171,74.81454,12.423227
airplane,Medium,0.8084537,44.501503,27.090345
airplane,Large,0.55798835,76.460754,12.235126
airplane,Large,0.76380754,77.08523,16.324003
airplane,Small,0.74426955,22.099092,-29.942862
airplane,Large,0.58184767,73.870544,16.978449
airplane,Medium,0.7211965,23.241636,-28.44199
airplane,Small,0.73959446,23.311947,-28.215874
airplane,Large,0.5317724,74.20872,14.135715
airplane,Large,0.60861146,76.30874,16.059942
airplane,Large,0.50981194,75.31335,15.161
airplane,Small,0.80844724,21.299816,-29.535957
airplane,Large,0.58196473,75.4556,16.937529
airplane,Medium,0.9617033,22.388134,2.0523238
airplane,Small,0.9277039,26.856905,2.7653959
airplane,Large,0.5598013,73.664,16.563902
airplane,Large,0.58167636,72.91761,17.710884
airplane,Large,0.5618097,76.13335,15.883797
airplane,Large,0.6271877,72.44729,16.295317
airplane,Medium,0.7988794,23.563408,-27.676939
airplane,Medium,0.85751486,23.58741,-27.579062
airplane,Medium,0.68531823,72.906,13.477016
airplane,Medium,0.796664,43.709248,34.78415
airplane,Large,0.59185416,74.481445,17.52626
airplane,Large,0.6200037,73.57011,16.318703
airplane,Large,0.52917516,75.08009,16.427439
airplane,Medium,0.8484443,44.39865,36.64076
airplane,Medium,0.87337923,72.093765,12.585851
airplane,Large,0.56262124,75.22736,16.910074
airplane,Medium,0.7830468,23.54842,-27.750778
airplane,Large,0.6095133,75.53918,14.945974
airplane,Large,0.55801123,76.61409,12.356316
airplane,Large,0.60855156,76.229546,12.723309
airplane,Large,0.5640368,74.738495,17.055912
airplane,Large,0.55723333,75.213745,15.564744
airplane,Large,0.57140666,76.11146,11.542464
airplane,Large,0.6980057,72.39104,16.039408
airplane,Small,0.77363205,44.4591,27.083212
airplane,Large,0.75764847,72.23994,17.834946
airplane,Large,0.58021474,76.271095,15.544829
airplane,Large,0.5288339,75.87853,11.802052
airplane,Large,0.47722146,75.73473,15.336282
airplane,Small,0.9028175,22.185532,1.6564084
airplane,Medium,0.99859804,22.086582,1.3920692
airplane,Large,0.5384279,74.389565,16.867115
airplane,Medium,0.78217757,23.564758,-27.676395
airplane,Large,0.5500199,76.34217,11.978204
airplane,Small,0.7715653,23.295536,-28.206554
airplane,Medium,0.72211677,72.858635,11.864595
airplane,Large,0.7542705,73.97819,13.966158
airplane,Large,0.564137,76.13319,11.706884
airplane,Medium,0.6617791,73.94655,11.938386
airplane,Large,0.7320183,72.50963,17.717377
airplane,Large,0.7314265,74.34577,14.228642
airplane,Large,0.6384174,72.399155,17.378073
airplane,Large,0.5863055,75.79008,16.33102
airplane,Large,0.6497607,76.47819,11.229872
airplane,Large,0.6659113,74.25566,18.145134
airplane,Medium,0.5844887,75.09358,11.505861
airplane,Large,0.7011193,73.64349,18.285095
airplane,Large,0.6482143,76.025375,17.141268
airplane,Large,0.798133,73.80599,13.083186
airplane,Small,1.0536879,-85.880394,-11.943639
airplane,Medium,0.5799285,74.1399,11.422458
airplane,Large,0.885825,72.09602,19.28947
airplane,Medium,0.5910886,74.16517,11.415999
airplane,Medium,0.5468813,75.13864,11.590109
airplane,Medium,0.64212346,76.01877,11.013081
airplane,Medium,0.7543751,72.542946,12.546073
airplane,Medium,0.65767866,76.47258,10.883576
airplane,Large,0.5671154,76.00971,16.213787
airplane,Medium,0.841214,45.555244,33.10737
airplane,Large,0.5788115,76.511986,11.701227
airplane,Large,0.49591228,74.8589,16.558086
airplane,Large,0.66363585,72.4047,15.914605
airplane,Large,0.6487062,74.21771,17.89955
airplane,Large,0.57231516,75.50273,11.489027
airplane,Small,0.81768984,19.431145,-27.946089
airplane,Medium,0.6975107,73.66408,13.041393
airplane,Small,0.92505044,19.785992,-29.244705
airplane,Large,0.68639636,74.70633,10.664051
airplane,Large,0.5650322,74.42885,16.670527
airplane,Large,0.59870696,72.91084,17.679558
airplane,Medium,0.92265487,23.376122,3.0418928
airplane,Large,0.57528865,75.99178,15.691489
airplane,Medium,0.745879,23.343151,-28.23367
airplane,Large,0.5605828,74.89171,12.126475
airplane,Large,0.53428537,75.54142,11.745599
airplane,Small,0.815905,44.47242,36.821415
airplane,Medium,0.771212,23.562643,-27.699602
airplane,Large,0.5836329,74.96399,17.662882
airplane,Medium,0.6204003,76.22765,11.173416
airplane,Medium,0.88453573,43.71588,35.48259
airplane,Large,0.595059,74.54691,17.345823
airplane,Large,0.5498615,75.73903,15.944892
airplane,Medium,0.6207824,74.2475,11.23689
airplane,Small,0.76672053,20.999666,-29.65809
airplane,Large,0.5046176,73.97946,16.891127
airplane,Large,0.7670037,71.88437,16.588448
bus,Large,0.70976096,55.488384,36.94795
bus,Large,0.5220307,58.023018,30.794846
bus,Large,0.5555158,57.56551,29.366243
bus,Large,0.5827242,59.467735,30.302618
bus,Large,0.61265296,57.76341,28.922379
bus,Medium,0.7013815,53.21008,41.515495
bus,Small,0.9846417,33.65963,39.39053
bus,Large,0.61409235,57.81032,29.11004
bus,Large,0.60002744,58.63927,36.085396
bus,Small,1.1353271,-88.57519,-9.800475
bus,Medium,0.61069524,56.720676,39.4341
bus,Large,0.5522897,58.385258,29.564432
bus,Large,0.5554296,58.108402,32.320896
bus,Large,0.6542231,59.529854,35.650494
bus,Large,0.6122325,57.773083,29.667767
bus,Large,1.001176,56.90935,14.560011
bus,Medium,0.6191691,57.123734,40.257732
bus,Large,0.83107555,52.593876,38.49834
bus,Medium,0.69018376,56.410892,38.970726
bus,Large,0.8764811,49.859367,39.099747
bus,Large,0.6175909,57.937027,39.544357
bus,Large,0.7231548,57.733097,39.819286
bus,Large,0.63245666,56.649044,37.981094
bus,Large,0.7926859,60.362564,22.549028
bus,Large,0.5989219,58.676712,29.299652
bus,Large,0.59219855,57.295864,29.85826
bus,Large,0.6826413,58.06262,38.214996
bus,Large,0.6002173,58.685368,31.266098
bus,Large,0.7009324,57.880558,34.033092
bus,Medium,0.8529415,52.325947,40.902596
bus,Large,0.56264454,58.511784,29.882513
bus,Small,0.93066716,46.81401,43.553486
bus,Large,0.6682326,58.4095,37.442455
bus,Small,0.95781887,33.292664,37.940777
bus,Medium,0.8761587,45.593822,37.87459
bus,Large,0.6384288,56.81144,29.384523
bus,Large,0.6376274,57.57833,28.310724
bus,Large,0.6119896,59.37,29.846584
bus,Large,0.5872024,59.302452,30.013504
bus,Small,0.8362234,50.505177,42.605595
bus,Small,0.81050277,50.38733,43.293606
bus,Medium,0.6157292,56.125584,39.52424
bus,Large,0.7920445,60.77361,22.918787
bus,Medium,0.8044742,60.066017,38.381313
bus,Large,0.5714548,59.23484,30.38774
bus,Medium,0.9451196,45.99405,39.08349
bus,Large,0.63692665,57.91631,28.02124
bus,Large,0.87574095,59.791286,21.229744
bus,Large,0.7585656,58.610497,34.052628
bus,Large,0.5840041,59.204227,31.106335
bus,Small,0.8127316,51.245533,42.294094
bus,Large,0.683256,54.532574,39.474842
bus,Medium,0.65196216,58.105114,37.726723
bus,Large,0.508481,58.44667,30.868607
bus,Large,0.52886,57.92059,29.812967
bus,Large,0.66959083,57.432926,34.06653
bus,Large,0.5728228,57.835793,29.723238
bus,Large,0.60031796,58.972607,34.796043
bus,Large,0.71756935,56.498966,28.130028
bus,Medium,0.7194133,55.318703,39.742096
bus,Large,0.67247444,56.9633,30.486385
bus,Medium,0.5960961,56.710117,38.943447
bus,Large,0.6166217,56.841682,40.331387
bus,Medium,0.8489479,50.34296,42.176533
bus,Medium,0.7835638,53.882214,41.971897
bus,Large,0.5527154,57.96715,30.006485
bus,Large,0.5062285,58.442238,31.00229
bus,Medium,0.7798509,46.111843,39.019894
bus,Large,0.54785484,58.1127,31.238152
bus,Large,0.5533628,59.330162,32.216602
bus,Medium,0.7232223,54.71483,41.42285
bus,Large,0.64947444,58.484127,28.875677
bus,Large,0.6658129,57.973457,39.78127
bus,Large,0.6720615,57.929867,39.500134
bus,Large,0.687989,58.219936,33.750416
bus,Medium,0.67700976,55.53191,40.395775
bus,Small,1.0104227,33.693256,39.23008
bus,Large,0.7735339,56.959805,34.46389
bus,Large,0.7257491,57.451,41.27586
bus,Medium,0.8569718,50.131264,43.28865
bus,Large,0.6425794,57.73,38.396423
bus,Large,0.5895948,58.44076,32.265488
bus,Large,0.9522929,31.100792,-21.79829
bus,Medium,0.7039532,52.87654,41.413055
bus,Medium,0.6600886,56.68147,40.156296
bus,Large,0.52840954,58.67797,36.2076
bus,Large,0.5737918,57.90901,28.780582
bus,Medium,0.7142331,49.439377,41.458122
bus,Large,0.597621,58.89018,35.65197
bus,Large,0.8017398,60.552197,22.752726
bus,Medium,0.80649334,53.253075,41.063187
bus,Large,0.5821817,59.031887,30.185003
bus,Medium,0.77522635,51.19159,40.026134
bus,Large,0.54041964,57.668037,30.94744
bus,Large,0.6598461,57.43745,41.094
bus,Large,0.6412411,56.759823,40.402916
bus,Large,0.57095003,58.509686,30.841307
bus,Large,0.6494421,56.555473,40.379494
bus,Large,0.60330117,58.019814,29.57883
bus,Large,0.61058986,57.361862,41.01024
train,Large,0.51658225,64.30881,29.853674
